slice-26,slice-7,slice-14,slice-14,slice-14
slice-7,slice-26,slice-31,slice-5,slice-5
slice-23,slice-18,slice-31,slice-31,slice-31
slice-10,slice-15,slice-8,slice-8,slice-22
slice-0,slice-30,slice-25,slice-25,slice-25
slice-27,slice-14,slice-4,slice-4,slice-4
slice-25,slice-21,slice-29,slice-29,slice-29
slice-8,slice-20,slice-16,slice-16,slice-16
slice-16,slice-8,slice-12,slice-12,slice-12
slice-30,slice-25,slice-1,slice-1,slice-0
slice-22,slice-15,slice-19,slice-19,slice-19
slice-4,slice-31,slice-27,slice-27,slice-27
slice-1,slice-8,slice-28,slice-28,slice-28
slice-14,slice-5,slice-26,slice-26,slice-26
slice-3,slice-17,slice-19,slice-17,slice-17
slice-24,slice-13,slice-13,slice-13,slice-13
slice-9,slice-2,slice-2,slice-2,slice-2
slice-17,slice-3,slice-19,slice-3,slice-3
slice-31,slice-4,slice-23,slice-23,slice-23
slice-12,slice-16,slice-16,slice-16,slice-16
slice-20,slice-8,slice-27,slice-8,slice-8
slice-11,slice-6,slice-6,slice-6,slice-6
slice-15,slice-22,slice-19,slice-22,slice-22
slice-2,slice-9,slice-29,slice-9,slice-9
slice-21,slice-29,slice-29,slice-29,slice-29
slice-29,slice-21,slice-2,slice-2,slice-2
slice-13,slice-28,slice-28,slice-28,slice-28
slice-28,slice-13,slice-13,slice-13,slice-13
slice-6,slice-11,slice-11,slice-11,slice-11
slice-5,slice-14,slice-7,slice-7,slice-14
slice-18,slice-23,slice-26,slice-2,slice-2
slice-19,slice-22,slice-22,slice-22,slice-22